R,G,B
40,42,22
24,40,17
31,47,29
39,38,34
44,28,39
36,28,35
19,27,20
32,43,23
33,33,15
37,34,26
18,23,26
18,30,36
20,25,24
22,16,11
39,37,29
37,44,39
15,24,21
23,34,31
21,35,33
17,29,35
32,35,50
39,32,53
25,21,40
18,27,40
22,40,41
43,51,40
53,44,30
45,32,24
35,33,39
19,28,42
17,20,34
44,36,43
41,36,15
33,26,11
35,27,20
41,37,36
42,44,45
29,34,37
30,33,41
19,25,38
17,24,43
14,24,42
20,22,40
37,27,39
44,26,33
46,33,35
42,47,46
23,44,42
30,39,36
19,25,20
31,28,23
37,31,26
24,21,13
29,31,25
34,43,40
11,25,24
9,21,25
36,42,49
37,32,41
31,18,26
40,27,29
43,36,33
37,38,28
27,36,23
17,42,22
15,32,19
23,29,24
30,31,27
31,30,20
48,41,32
56,41,39
23,7,14
33,23,29
39,37,36
36,37,28
32,34,28
24,30,29
20,31,29
28,38,32
20,29,16
26,47,22
14,39,19
13,41,21
20,45,17
22,39,6
26,35,15
25,34,37
12,28,41
27,46,53
30,44,42
22,30,29
19,27,34
24,33,46
15,27,31
30,39,26
52,52,28
15,18,33
25,28,19
34,40,15
20,29,16
23,24,34
46,32,50
48,25,33
30,23,14
11,28,15
6,30,22
10,24,18
26,27,23
38,38,38
23,27,32
26,29,33
42,38,37
42,47,45
37,45,34
38,45,32
28,24,23
29,18,21
51,43,36
31,30,10
29,26,11
35,27,28
31,23,30
32,31,27
11,18,5
36,40,35
34,31,40
10,6,17
24,26,27
28,25,20
27,25,25
29,28,32
22,27,25
17,28,18
25,38,30
28,36,43
14,18,36
5,8,23
28,32,33
27,34,21
21,24,9
31,28,23
51,46,48
53,47,52
31,26,27
44,58,16
30,38,15
19,18,20
35,31,43
43,41,47
34,37,28
34,40,23
31,35,23
40,37,39
35,31,37
34,32,31
33,36,20
29,35,12
31,33,21
41,32,45
45,30,62
29,27,33
46,45,49
35,34,38
17,15,21
34,30,36
40,34,39
24,18,19
31,23,23
40,28,28
29,17,17
37,26,22
43,35,28
31,25,20
31,28,24
40,41,37
37,41,35
28,29,39
8,16,16
17,27,21
45,49,44
40,37,39
25,24,28
28,34,29
32,33,23
53,48,39
39,32,29
26,23,25
27,27,27
36,34,24
46,38,25
